variance,max H,max S,max V,H*S,ok not ok,
706,178,144,255,25632,1,
1040,179,151,255,27029,1,
1330,179,152,255,27208,1,
485,178,147,255,26166,1,
607,179,147,255,26313,1,
420,177,148,255,26196,1,
401,177,149,255,26373,1,
418,178,151,255,26878,1,
421,178,150,255,26700,1,
430,177,157,255,27789,1,
417,177,155,255,27435,1,
476,178,156,255,27768,1,
518,178,148,255,26344,1,
512,179,152,255,27208,1,
481,175,150,255,26250,1,
503,177,151,255,26727,1,
419,178,150,255,26700,1,
448,176,149,255,26224,1,
831,179,146,255,26134,1,
568,178,145,255,25810,1,
887,178,146,255,25988,1,
1140,177,146,255,25842,1,
517,176,148,255,26048,1,
654,175,148,255,25900,1,
454,177,147,255,26019,1,
429,176,145,255,25520,1,
509,176,147,255,25872,1,
481,175,147,255,25725,1,
510,178,140,255,24920,1,
511,177,144,255,25488,1,
426,176,141,255,24816,1,
462,178,140,255,24920,1,
363,176,144,255,25344,1,
394,176,140,255,24640,1,
323,176,151,255,26576,1,
340,177,147,255,26019,1,
316,178,149,255,26522,1,
315,177,152,255,26904,1,
708,177,152,255,26904,1,
1090,175,153,255,26775,1,
1320,174,149,255,25926,1,
764,174,153,255,26622,1,
849,176,155,255,27280,1,
677,179,150,255,26850,1,
664,179,154,255,27566,1,
659,179,152,255,27208,1,
663,178,152,255,27056,1,
689,178,152,255,27056,1,
678,179,153,255,27387,1,
732,178,144,255,25632,1,
711,177,149,255,26373,1,
781,178,146,255,25988,1,
747,177,145,255,25665,1,
746,178,149,255,26522,1,
784,179,147,255,26313,1,
506,177,149,255,26373,1,
668,177,149,255,26373,1,
1060,177,147,255,26019,1,
840,179,142,255,25418,1,
928,179,147,255,26313,1,
1020,178,149,255,26522,1,
979,179,146,255,26134,1,
1040,177,145,255,25665,1,
1040,177,147,255,26019,1,
972,177,138,255,24426,1,
1010,179,143,255,25597,1,
902,177,148,255,26196,1,
943,176,143,255,25168,1,
882,177,145,255,25665,1,
864,178,148,255,26344,1,
758,177,154,255,27258,1,
813,177,152,255,26904,1,
1280,177,155,255,27435,1,
889,176,157,255,27632,1,
1630,178,152,255,27056,1,
2000,178,151,255,26878,1,
1140,179,144,255,25776,1,
1370,178,149,255,26522,1,
738,177,136,255,24072,1,
923,175,138,255,24150,1,
338,178,143,255,25454,1,
526,177,139,255,24603,1,
121,179,153,255,27387,1,
196,179,149,255,26671,1,
133,179,161,255,28819,1,
109,179,155,255,27745,1,
163,177,172,255,30444,1,
179,176,176,255,30976,1,
167,176,176,255,30976,1,
758,177,165,255,29205,1,
1300,179,155,255,27745,1,
