variance,max H,max S,max V,H*S,ok not ok
5387,174,204,255,35496,1
1955,175,214,255,37450,1
628,177,226,255,40002,1
219,175,225,255,39375,1
142,178,214,255,38092,1
104,179,199,255,35621,1
109,179,188,255,33652,1
138,179,178,255,31862,1
235,179,173,255,30967,1
429,179,157,255,28103,1
689,177,155,255,27435,1
951,178,148,255,26344,1
1113,179,143,255,25597,1
1153,179,134,255,23986,1
1309,179,123,255,22017,1
1549,179,127,255,22733,1
1792,178,129,255,22962,1
1909,178,130,255,23140,1
1896,178,129,255,22962,1
2782,178,125,255,22250,1
2611,178,127,255,22606,1
2535,178,129,255,22962,1
2475,179,130,255,23270,1
2326,179,130,255,23270,1
2020,179,134,255,23986,1
1756,177,138,255,24426,1
1560,176,141,255,24816,1
1475,178,143,255,25454,1
1323,178,143,255,25454,1
1039,179,143,255,25597,1
435,179,139,255,24881,1
321,179,136,255,24344,1
311,179,138,255,24702,1
324,179,139,255,24881,1
363,179,139,255,24881,1
427,178,149,255,26522,1
445,178,149,255,26522,1
452,178,150,255,26700,1
456,178,150,255,26700,1
444,177,149,255,26373,1
420,178,145,255,25810,1
396,178,140,255,24920,1
367,177,144,255,25488,1
346,178,145,255,25810,1
340,178,145,255,25810,1
353,178,144,255,25632,1
362,178,142,255,25276,1
359,177,145,255,25665,1
340,178,150,255,26700,1
319,178,151,255,26878,1
303,178,152,255,27056,1
295,178,151,255,26878,1
294,177,149,255,26373,1
304,177,147,255,26019,1
320,178,148,255,26344,1
334,178,155,255,27590,1
354,178,161,255,28658,1
345,178,160,255,28480,1
312,179,159,255,28461,1
287,179,151,255,27029,1
287,179,151,255,27029,1
287,179,151,255,27029,1
287,179,151,255,27029,1
1146,178,150,255,26700,1
1146,178,150,255,26700,1
1146,178,150,255,26700,1
1162,178,150,255,26700,1
1162,178,150,255,26700,1
1162,178,150,255,26700,1
1162,178,150,255,26700,1
1162,178,150,255,26700,1
1162,178,150,255,26700,1
1146,178,150,255,26700,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
1640,179,156,255,27924,1
696,178,163,255,29014,1
696,178,163,255,29014,1
696,178,163,255,29014,1
696,178,163,255,29014,1
673,178,162,255,28836,1
673,178,162,255,28836,1
673,178,162,255,28836,1
673,178,162,255,28836,1
673,178,162,255,28836,1
416,176,158,255,27808,1
416,176,158,255,27808,1
416,176,158,255,27808,1
412,176,158,255,27808,1
412,176,158,255,27808,1
416,176,158,255,27808,1
416,176,158,255,27808,1
416,176,158,255,27808,1
416,176,158,255,27808,1
416,176,158,255,27808,1
150,179,155,255,27745,1
150,179,155,255,27745,1
150,179,155,255,27745,1
150,179,155,255,27745,1
151,179,155,255,27745,1
151,179,155,255,27745,1
151,179,155,255,27745,1
150,179,155,255,27745,1
150,179,155,255,27745,1
150,179,155,255,27745,1
275,179,165,255,29535,1
306,179,166,255,29714,1
306,179,166,255,29714,1
279,179,165,255,29535,1
279,179,165,255,29535,1
280,179,164,255,29356,1
417,179,163,255,29177,1
353,179,163,255,29177,1
292,179,162,255,28998,1
297,179,161,255,28819,1
2412,179,161,255,28819,1
1318,179,164,255,29356,1
1335,179,165,255,29535,1
1362,179,165,255,29535,1
1477,179,164,255,29356,1
1477,179,164,255,29356,1
