variance,max H,max S,max V,H*S,ok not ok
5.55E+02,175,133,255,23275,1
5.84E+02,176,133,255,23408,1
3.44E+02,174,116,255,20184,1
4.13E+02,174,115,255,20010,1
3.97E+02,174,116,255,20184,1
3.97E+02,174,116,255,20184,1
3.97E+02,174,116,255,20184,1
3.97E+02,174,116,255,20184,1
4.77E+02,175,115,255,20125,1
4.70E+02,175,115,255,20125,1
4.70E+02,175,115,255,20125,1
4.77E+02,174,116,255,20184,1
1.33E+02,175,98,255,17150,1
1.98E+02,175,98,255,17150,1
2.15E+02,175,98,255,17150,1
1.64E+02,175,98,255,17150,1
1.64E+02,175,98,255,17150,1
1.64E+02,175,98,255,17150,1
1.62E+02,175,98,255,17150,1
1.65E+02,175,98,255,17150,1
1.65E+02,175,98,255,17150,1
1.65E+02,175,98,255,17150,1
1.58E+02,179,100,255,17900,1
1.58E+02,179,100,255,17900,1
1.53E+03,179,153,209,27387,1
1.53E+03,179,153,209,27387,1
1.53E+03,179,153,209,27387,1
1.97E+02,179,111,255,19869,1
1.97E+02,179,111,255,19869,1
1.97E+02,179,111,255,19869,1
2.17E+02,179,118,255,21122,1
2.17E+02,179,118,255,21122,1
4.53E+02,177,218,255,38586,1
4.61E+02,177,217,255,38409,1
5.36E+02,177,218,255,38586,1
5.54E+02,178,217,255,38626,1
7.97E+02,177,214,255,37878,1
8.25E+02,178,211,255,37558,1
7.74E+02,177,211,255,37347,1
8.29E+02,177,210,255,37170,1
8.52E+02,178,207,255,36846,1
1.02E+03,178,209,255,37202,1
6.63E+02,101,215,255,21715,1
7.03E+02,126,201,255,25326,1
7.37E+02,103,206,255,21218,1
8.55E+02,101,215,255,21715,1
8.69E+02,103,218,255,22454,1
9.02E+02,105,214,255,22470,1
5.78E+02,104,206,255,21424,1
5.07E+02,135,197,255,26595,1
4.05E+02,179,187,255,33473,1
3.48E+02,179,207,255,37053,1
3.37E+02,177,202,255,35754,1
3.17E+02,178,167,255,29726,1
3.40E+02,177,162,255,28674,1
3.35E+02,178,162,255,28836,1
5.79E+02,179,162,255,28998,1
5.58E+02,179,162,255,28998,1
5.51E+02,179,162,255,28998,1
1.53E+02,179,158,255,28282,1
1.13E+02,179,158,255,28282,1
1.46E+02,179,156,255,27924,1
1.90E+02,179,154,255,27566,1
2.54E+02,179,154,255,27566,1
3.10E+02,179,155,255,27745,1
3.73E+02,179,156,255,27924,1
4.49E+02,179,157,255,28103,1
5.27E+02,179,158,255,28282,1
6.88E+02,178,157,253,27946,1
7.47E+02,177,155,254,27435,1
7.69E+02,179,153,253,27387,1
7.90E+02,178,149,255,26522,1
8.24E+02,177,148,255,26196,1
8.46E+02,177,149,255,26373,1
8.86E+02,177,147,255,26019,1
8.02E+02,177,147,255,26019,1
8.34E+02,178,146,255,25988,1
8.17E+02,179,149,255,26671,1
8.58E+02,179,150,255,26850,1
1.64E+01,179,176,182,31504,1
1.62E+01,179,176,181,31504,1
4.94E+02,179,180,179,32220,1
4.92E+02,179,180,179,32220,1
3.65E+02,179,162,255,28998,1
3.25E+02,179,161,255,28819,1
3.28E+02,179,166,255,29714,1
3.43E+02,179,171,255,30609,1
3.59E+02,179,176,253,31504,1
3.74E+02,179,177,250,31683,1
2.58E+02,178,177,255,31506,1
1.61E+02,177,173,253,30621,1
1.22E+02,178,170,255,30260,1
