variance,max H,max S,max V,H*S,ok not ok
6891.3,178,210,255,37380,1
1977.2,179,213,255,38127,1
306.5,178,208,255,37024,1
286.5,177,191,255,33807,1
268.2,177,190,255,33630,1
246.3,177,207,255,36639,1
225.0,176,209,255,36784,1
211.4,175,210,255,36750,1
232.1,174,205,255,35670,1
404.5,177,197,255,34869,1
728.8,178,194,255,34532,1
1139.8,178,193,255,34354,1
1383.8,178,195,255,34710,1
1489.3,177,192,255,33984,1
1925.7,176,176,255,30976,1
2376.5,174,168,255,29232,1
2803.3,173,169,255,29237,1
2996.8,173,169,255,29237,1
3011.2,173,171,255,29583,1
3199.2,170,179,255,30430,1
2951.8,173,180,255,31140,1
2787.9,175,172,255,30100,1
2667.9,177,156,255,27612,1
2438.9,177,152,255,26904,1
2020.6,177,154,255,27258,1
1643.0,177,155,255,27435,1
1395.4,177,156,255,27612,1
1337.4,177,155,255,27435,1
1233.6,178,155,255,27590,1
973.6,178,156,255,27768,1
257.7,178,154,255,27412,1
110.0,178,148,255,26344,1
82.9,179,144,255,25776,1
74.2,178,141,255,25098,1
68.2,177,140,255,24780,1
69.5,177,142,255,25134,1
69.4,177,141,255,24957,1
70.0,177,143,255,25311,1
71.6,177,145,255,25665,1
71.1,178,144,255,25632,1
68.0,179,144,255,25776,1
60.9,179,138,255,24702,1
57.5,178,136,255,24208,1
61.0,178,138,255,24564,1
64.7,178,140,255,24920,1
63.1,178,141,255,25098,1
62.5,178,145,255,25810,1
72.7,178,149,255,26522,1
81.0,177,151,255,26727,1
91.1,177,154,255,27258,1
99.5,176,156,255,27456,1
110.3,177,156,255,27612,1
117.7,178,151,255,26878,1
126.7,179,142,255,25418,1
136.3,179,143,255,25597,1
146.4,178,143,255,25454,1
145.8,178,141,255,25098,1
135.4,177,145,255,25665,1
127.0,176,145,255,25520,1
119.7,178,144,255,25632,1
119.7,178,144,255,25632,1
119.7,178,144,255,25632,1
119.7,178,144,255,25632,1
1553.1,179,139,255,24881,1
1553.1,179,139,255,24881,1
1553.1,179,139,255,24881,1
1575.4,179,139,255,24881,1
1575.4,179,139,255,24881,1
1575.4,179,139,255,24881,1
1575.4,179,139,255,24881,1
1575.4,179,139,255,24881,1
1575.4,179,139,255,24881,1
1553.1,179,139,255,24881,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
1934.7,175,141,255,24675,1
134.2,177,145,255,25665,1
134.2,177,145,255,25665,1
134.2,177,145,255,25665,1
134.2,177,145,255,25665,1
135.2,177,144,255,25488,1
135.2,177,144,255,25488,1
135.2,177,144,255,25488,1
135.2,177,144,255,25488,1
135.2,177,144,255,25488,1
133.0,179,134,255,23986,1
133.0,179,134,255,23986,1
133.0,179,134,255,23986,1
133.0,178,135,255,24030,1
133.0,178,135,255,24030,1
133.0,179,134,255,23986,1
133.0,179,134,255,23986,1
133.0,179,134,255,23986,1
133.0,179,134,255,23986,1
133.0,179,134,255,23986,1
269.3,178,139,255,24742,1
269.3,178,139,255,24742,1
269.3,178,139,255,24742,1
269.3,178,139,255,24742,1
263.2,178,139,255,24742,1
263.2,178,139,255,24742,1
263.2,178,139,255,24742,1
269.3,178,139,255,24742,1
269.3,178,139,255,24742,1
276.8,178,139,255,24742,1
264.7,179,155,255,27745,1
246.9,179,155,255,27745,1
246.9,179,155,255,27745,1
306.1,179,155,255,27745,1
306.1,179,155,255,27745,1
308.5,179,155,255,27745,1
267.3,178,155,255,27590,1
272.3,178,156,255,27768,1
255.7,179,156,255,27924,1
253.8,178,157,255,27946,1
5118.0,178,180,255,32040,1
263.0,178,173,255,30794,1
285.0,179,178,255,31862,1
288.0,179,179,255,32041,1
273.9,179,182,255,32578,1
273.9,179,182,255,32578,1
290.2,179,182,255,32578,1
3300.5,178,212,255,37736,1
3175.4,178,212,255,37736,1
3472.5,178,213,255,37914,1
94.0,179,210,255,37590,1
122.9,179,212,255,37948,1
118.4,179,211,255,37769,1
145.2,179,209,255,37411,1
150.5,179,207,255,37053,1
138.6,179,199,255,35621,1
7.3,179,215,95,38485,1
269.4,179,195,255,34905,1
251.9,179,231,255,41349,1
269.5,179,231,255,41349,1
224.1,179,231,255,41349,1
309.4,179,232,255,41528,1
277.2,179,232,255,41528,1
331.7,179,233,255,41707,1
341.5,179,234,255,41886,1
341.5,179,234,255,41886,1
341.5,179,234,255,41886,1
3170.8,178,229,255,40762,1
1992.2,177,229,255,40533,1
1876.0,177,228,255,40356,1
2389.6,177,226,255,40002,1
2415.4,177,222,255,39294,1
2696.9,179,233,255,41707,1
2537.9,179,233,255,41707,1
2503.1,179,234,255,41886,1
2503.1,179,234,255,41886,1
212.1,177,195,255,34515,1
200.2,176,195,255,34320,1
191.2,176,194,255,34144,1
185.2,175,194,255,33950,1
185.2,175,194,255,33950,1
204.7,175,194,255,33950,1
209.3,175,194,255,33950,1
211.3,176,193,255,33968,1
2685.7,174,183,255,31842,1
241.3,176,194,255,34144,1
2725.1,179,183,255,32757,1
710.3,177,183,255,32391,1
700.8,177,183,255,32391,1
787.7,177,182,255,32214,1
901.5,178,183,255,32574,1
901.5,178,183,255,32574,1
901.5,178,183,255,32574,1
506.2,178,173,255,30794,1
747.3,179,183,255,32757,1
551.6,178,174,255,30972,1
506.2,178,173,255,30794,1
551.6,178,174,255,30972,1
551.6,178,174,255,30972,1
541.9,175,175,255,30625,1
551.6,178,174,255,30972,1
541.9,175,175,255,30625,1
2389.5,176,161,255,28336,1
2389.5,176,161,255,28336,1
805.9,179,159,255,28461,1
805.9,179,159,255,28461,1
840.4,179,158,255,28282,1
805.9,179,159,255,28461,1
840.4,179,158,255,28282,1
305.6,177,147,255,26019,1
840.4,179,158,255,28282,1
296.5,176,147,255,25872,1
296.5,176,147,255,25872,1
296.5,176,147,255,25872,1
296.5,176,147,255,25872,1
296.5,176,147,255,25872,1
296.5,176,147,255,25872,1
296.5,176,147,255,25872,1
1489.0,178,146,255,25988,1
1489.0,178,146,255,25988,1
1489.0,178,146,255,25988,1
1489.0,178,146,255,25988,1
1629.1,178,154,255,27412,1
1586.3,178,154,255,27412,1
1629.1,178,154,255,27412,1
1629.1,178,154,255,27412,1
395.6,179,159,255,28461,1
1629.1,178,154,255,27412,1
391.7,179,160,255,28640,1
391.7,179,160,255,28640,1
391.7,179,160,255,28640,1
391.7,179,160,255,28640,1
395.6,179,159,255,28461,1
391.7,179,160,255,28640,1
395.6,179,159,255,28461,1
666.6,179,164,255,29356,1
666.6,179,164,255,29356,1
677.1,179,164,255,29356,1
677.1,179,164,255,29356,1
1092.7,178,168,255,29904,1
677.1,179,164,255,29356,1
1435.1,179,159,255,28461,1
1805.3,178,155,255,27590,1
620.6,179,170,255,30430,1
824.1,178,168,255,29904,1
452.9,179,164,255,29356,1
473.0,179,168,255,30072,1
478.9,179,160,255,28640,1
457.2,179,158,255,28282,1
481.7,177,159,255,28143,1
483.3,179,160,255,28640,1
465.9,178,154,255,27412,1
402.0,176,147,255,25872,1
435.1,178,143,255,25454,1
379.4,176,151,255,26576,1
378.2,176,149,255,26224,1
405.7,177,151,255,26727,1
376.0,177,149,255,26373,1
974.3,177,151,255,26727,1
632.6,178,151,255,26878,1
1040.0,176,156,255,27456,1
1360.7,178,158,255,28124,1
565.3,176,153,255,26928,1
747.5,176,157,255,27632,1
425.5,177,149,255,26373,1
433.1,177,152,255,26904,1
396.6,178,152,255,27056,1
412.9,177,152,255,26904,1
352.6,176,154,255,27104,1
371.3,179,150,255,26850,1
269.1,177,151,255,26727,1
295.2,176,152,255,26752,1
246.5,178,150,255,26700,1
246.3,178,153,255,27234,1
272.3,179,146,255,26134,1
256.8,179,147,255,26313,1
322.3,177,153,255,27081,1
287.6,179,148,255,26492,1
861.2,178,150,255,26700,1
1146.4,179,150,255,26850,1
1480.8,178,148,255,26344,1
668.7,179,155,255,27745,1
810.3,179,153,255,27387,1
517.5,178,155,255,27590,1
527.1,179,152,255,27208,1
