variance,max H,max S,max V,H*S,ok not ok
6861.683056,178,180,255,32040,1
2006.965556,178,191,255,33998,1
364.3608333,178,193,255,34354,1
245.2322222,179,194,255,34726,1
193.1322222,179,186,255,33294,1
160.9933333,179,186,255,33294,1
143.9655556,178,184,255,32752,1
139.4288889,177,184,255,32568,1
166.3933333,177,185,255,32745,1
354.06,177,187,255,33099,1
699.9933333,177,186,255,32922,1
1124.498889,178,183,255,32574,1
1352.49,178,180,255,32040,1
1433.638889,176,170,255,29920,1
1864.098889,173,163,255,28199,1
2336.748889,174,165,255,28710,1
2716.836389,176,166,255,29216,1
2896.369722,177,165,255,29205,1
2924.436389,177,161,255,28497,1
3197.116389,177,149,255,26373,1
2917.643056,177,149,255,26373,1
2764.688889,176,148,255,26048,1
2688.203056,177,148,255,26196,1
2490.849722,176,150,255,26400,1
2071.416667,176,151,255,26576,1
1685.269722,173,153,255,26469,1
1426.026667,171,155,255,26505,1
1364.054167,173,156,255,26988,1
1245.193333,175,156,255,27300,1
975.4497222,175,153,255,26775,1
276.6430556,174,140,255,24360,1
144.5363889,172,138,255,23736,1
127.8163889,172,138,255,23736,1
125.2497222,175,139,255,24325,1
114.1808333,175,138,255,24150,1
95.97666667,177,139,255,24603,1
91.00666667,178,140,255,24920,1
90.11,178,140,255,24920,1
90.49888889,178,137,255,24386,1
94,178,138,255,24564,1
96.10972222,177,138,255,24426,1
90.05416667,176,139,255,24464,1
85.5875,176,140,255,24640,1
88.15416667,177,140,255,24780,1
99.91,177,141,255,24957,1
110.3322222,177,140,255,24780,1
107.16,177,139,255,24603,1
97.9275,178,136,255,24208,1
88.74555556,178,140,255,24920,1
84.23333333,179,141,255,25239,1
79.49888889,179,142,255,25418,1
70.11555556,179,143,255,25597,1
62.53333333,179,141,255,25239,1
62.57638889,178,141,255,25098,1
67.30305556,178,144,255,25632,1
68.87888889,177,145,255,25665,1
68.91638889,179,144,255,25776,1
78.56972222,179,138,255,24702,1
82.41638889,179,133,255,23807,1
85.34972222,178,130,255,23140,1
85.34972222,178,130,255,23140,1
85.34972222,178,130,255,23140,1
85.34972222,178,130,255,23140,1
1596.182222,179,140,255,25060,1
1596.182222,179,140,255,25060,1
1596.182222,179,140,255,25060,1
1608.722222,179,140,255,25060,1
1608.722222,179,140,255,25060,1
1608.722222,179,140,255,25060,1
1608.722222,179,140,255,25060,1
1608.722222,179,140,255,25060,1
1608.722222,179,140,255,25060,1
1596.182222,179,140,255,25060,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
1994.412222,176,139,255,24464,1
111.5066667,179,144,255,25776,1
111.5066667,179,144,255,25776,1
111.5066667,179,144,255,25776,1
111.5066667,179,144,255,25776,1
111.9888889,179,144,255,25776,1
111.9888889,179,144,255,25776,1
111.9888889,179,144,255,25776,1
111.9888889,179,144,255,25776,1
111.9888889,179,144,255,25776,1
152.7030556,178,133,255,23674,1
152.7030556,178,133,255,23674,1
152.7030556,178,133,255,23674,1
153.1363889,178,133,255,23674,1
153.1363889,178,133,255,23674,1
152.7030556,178,133,255,23674,1
152.7030556,178,133,255,23674,1
152.7030556,178,133,255,23674,1
152.7030556,178,133,255,23674,1
152.7030556,178,133,255,23674,1
177.04,179,146,255,26134,1
177.04,179,146,255,26134,1
177.04,179,146,255,26134,1
177.04,179,146,255,26134,1
174.9697222,179,146,255,26134,1
174.9697222,179,146,255,26134,1
174.9697222,179,146,255,26134,1
177.04,179,146,255,26134,1
177.04,179,146,255,26134,1
180.9488889,178,146,255,25988,1
